case_id,merchant_id,customer_id,domain,amount,decline_reason,attempts_used,account_age_days,previous_failures,previous_recoveries,prior_recovery_rate,day_of_week,hour,issuer,bin_bucket,fatigue_score,treatment,recovered,time_to_recovery_hours
case_050146e603eb,merch_play_arena,cust_734711,gaming,575.43,card_limit_exceeded,1,34,2,0,0.0,5,17,KOTAK,platinum,0.3231,no_action,0,
case_03ae0ec4568c,merch_urban_mart,cust_523714,ecommerce,3488.73,bank_downtime,1,45,2,2,0.5,0,9,OTHER,classic,0.2005,email,0,
case_02591a5d6755,merch_quick_bite,cust_924643,food_delivery,581.28,user_cancelled_checkout,1,173,2,3,0.6,2,21,AXIS,platinum,0.2055,incentive_link,1,1.82
case_05d9f6a8428f,merch_trend_hub,cust_997083,ecommerce,1812.01,technical_gateway_error,4,232,0,1,1.0,2,21,AXIS,platinum,0.8185,retry_only,1,0.03
case_02f320491bfe,merch_trend_hub,cust_902418,ecommerce,1289.98,upi_pin_timeout,2,173,4,3,0.4286,3,6,SBI,platinum,0.5856,retry_only,0,
case_03839c84bcb6,merch_dev_stack,cust_357012,b2b_saas,17715.83,authentication_failed,1,19,0,0,0.0,1,21,CITI,upi_standard,0.141,email,0,
case_04b9592c2f9b,merch_edupath,cust_776746,education,7477.4,authentication_failed,1,47,0,0,0.0,1,18,HDFC,signature,0.0,incentive_link,0,
case_058c96dc4f3c,merch_quick_bite,cust_488718,food_delivery,448.16,card_limit_exceeded,2,223,0,0,0.0,1,23,SBI,platinum,0.2723,email,0,
case_0369afda041c,merch_style_kart,cust_923764,ecommerce,1431.34,upi_pin_timeout,1,38,2,2,0.5,6,14,HDFC,rupay,0.2512,email,0,
case_03cd779b35b8,merch_play_arena,cust_961716,gaming,602.24,technical_gateway_error,1,36,0,0,0.0,3,10,SBI,upi_standard,0.2056,whatsapp_nudge,0,
case_04c713199113,merch_style_kart,cust_497878,ecommerce,3138.88,insufficient_funds,1,71,2,2,0.5,1,20,KOTAK,upi_standard,0.1772,retry_only,0,
case_00ccf534741f,merch_chef_cart,cust_558994,food_delivery,129.74,user_cancelled_checkout,1,392,0,0,0.0,5,15,SBI,upi_standard,0.2755,incentive_link,1,1.22
case_04549e9fa37e,merch_style_kart,cust_562651,ecommerce,12428.83,authentication_failed,1,993,4,2,0.3333,6,19,SBI,classic,0.5913,email,0,
case_03e466cb9d8d,merch_stream_pass,cust_566214,subscription,1262.82,technical_gateway_error,1,593,2,1,0.3333,4,13,HDFC,platinum,0.2987,no_action,0,
case_0200407081e0,merch_nexus_quest,cust_135927,gaming,2354.74,upi_pin_timeout,2,155,0,0,0.0,5,19,HDFC,signature,0.5157,voice_call,0,
case_05e810ec25d0,merch_style_kart,cust_412066,ecommerce,3322.25,bank_downtime,2,177,1,1,0.5,4,17,AXIS,signature,0.4458,retry_only,1,0.17
case_048fc5e741a5,merch_urban_mart,cust_942007,ecommerce,1005.49,insufficient_funds,1,88,3,0,0.0,0,8,ICICI,platinum,0.4538,email,0,
case_04714e41393c,merch_news_wire,cust_841835,subscription,843.93,upi_pin_timeout,2,265,1,0,0.0,4,19,HDFC,platinum,0.4836,no_action,0,
case_04cf1eee3db1,merch_blitz_retail,cust_173557,ecommerce,1320.79,user_cancelled_checkout,2,365,1,1,0.5,1,1,ICICI,classic,0.2839,retry_only,0,
case_035e0bab7602,merch_urban_mart,cust_265484,ecommerce,1466.56,bank_downtime,1,101,1,0,0.0,1,21,ICICI,rupay,0.2317,retry_only,0,
case_020bd3fbb942,merch_flow_ops,cust_245935,b2b_saas,29082.24,insufficient_funds,2,561,1,2,0.6667,6,14,SBI,signature,0.1466,incentive_link,0,
case_042c7a68518b,merch_blitz_retail,cust_285646,ecommerce,2314.64,upi_pin_timeout,1,525,2,1,0.3333,5,21,AXIS,classic,0.2198,whatsapp_nudge,0,
case_0218392c1041,merch_urban_mart,cust_464259,ecommerce,1023.04,user_cancelled_checkout,2,957,2,2,0.5,3,8,AXIS,classic,0.523,retry_only,0,
case_03af41f59d94,merch_style_kart,cust_353153,ecommerce,4778.39,technical_gateway_error,1,89,2,1,0.3333,2,0,SBI,rupay,0.1724,retry_only,0,
case_04165efc6e7e,merch_chef_cart,cust_731930,food_delivery,302.43,card_limit_exceeded,1,18,2,1,0.3333,2,21,OTHER,upi_standard,0.3517,email,0,
case_04ddd1d633c8,merch_play_arena,cust_337046,gaming,1062.49,authentication_failed,1,214,0,0,0.0,4,2,AXIS,rupay,0.3315,no_action,0,
case_02a23a10bf26,merch_urban_mart,cust_549196,ecommerce,2832.91,insufficient_funds,2,176,0,1,1.0,2,4,HDFC,platinum,0.202,voice_call,0,
case_023f9da32e9f,merch_trend_hub,cust_680974,ecommerce,4114.3,upi_pin_timeout,2,214,3,1,0.25,2,9,CITI,platinum,0.6671,email,0,
case_00f426a6bd3f,merch_quick_bite,cust_147426,food_delivery,274.55,authentication_failed,1,34,1,0,0.0,3,7,ICICI,platinum,0.2708,voice_call,0,
case_05f497bd3c84,merch_voyage_air,cust_657716,travel,6739.86,upi_pin_timeout,1,514,2,3,0.6,2,5,ICICI,classic,0.2532,voice_call,0,
case_03e0dcaa7f01,merch_trend_hub,cust_208741,ecommerce,2124.66,technical_gateway_error,2,247,1,1,0.5,5,9,ICICI,upi_standard,0.558,whatsapp_nudge,0,
case_01477ca98d03,merch_fit_box,cust_569947,subscription,654.94,upi_pin_timeout,1,194,1,1,0.5,4,14,ICICI,platinum,0.3766,no_action,0,
case_02a951ac995c,merch_game_loot,cust_527566,gaming,571.12,authentication_failed,1,131,2,0,0.0,2,19,ICICI,classic,0.3982,no_action,0,
case_017eeedcb5b5,merch_trend_hub,cust_521130,ecommerce,373.3,authentication_failed,1,196,2,1,0.3333,4,19,SBI,upi_standard,0.3404,whatsapp_nudge,1,0.5
case_00ebca338147,merch_feast_now,cust_916707,food_delivery,198.07,upi_pin_timeout,1,59,4,1,0.2,5,20,ICICI,corporate,0.5871,whatsapp_nudge,1,1.09
case_02eb3e6a0003,merch_style_kart,cust_435191,ecommerce,1908.92,insufficient_funds,1,62,1,0,0.0,3,3,ICICI,classic,0.1966,voice_call,0,
case_04b90bc854b3,merch_skill_core,cust_815273,education,27269.28,bank_downtime,3,284,2,1,0.3333,4,12,HDFC,platinum,0.8608,voice_call,0,
case_049743fc3486,merch_edupath,cust_159362,education,13133.04,technical_gateway_error,2,95,4,1,0.2,3,12,SBI,upi_standard,0.7656,whatsapp_nudge,0,
case_020e2265c16b,merch_blitz_retail,cust_143771,ecommerce,4036.16,card_limit_exceeded,1,507,1,0,0.0,4,18,SBI,corporate,0.3431,whatsapp_nudge,0,
case_056d287c6d27,merch_stream_pass,cust_108758,subscription,699.6,bank_downtime,2,61,1,1,0.5,1,0,ICICI,classic,0.3389,incentive_link,0,
case_02dd38587183,merch_trend_hub,cust_900062,ecommerce,1334.51,bank_downtime,1,344,3,2,0.4,0,13,ICICI,classic,0.3908,whatsapp_nudge,0,
case_00b834597fe2,merch_skytrip,cust_169339,travel,35620.95,authentication_failed,1,117,3,1,0.25,5,9,ICICI,rupay,0.4403,no_action,0,
case_03ff385f01bd,merch_feast_now,cust_910575,food_delivery,572.49,insufficient_funds,2,29,0,1,1.0,3,15,CITI,rupay,0.2869,no_action,0,
case_058393d67dd8,merch_urban_mart,cust_745939,ecommerce,3253.86,insufficient_funds,1,11,0,0,0.0,4,22,ICICI,upi_standard,0.0629,retry_only,0,
case_052bdaf2474a,merch_feast_now,cust_669412,food_delivery,121.95,insufficient_funds,1,111,4,3,0.4286,4,4,AXIS,corporate,0.5003,retry_only,0,
case_0487e3cc0694,merch_urban_mart,cust_550792,ecommerce,11162.55,authentication_failed,3,249,1,0,0.0,3,8,ICICI,classic,0.7597,whatsapp_nudge,0,
case_012088860b53,merch_feast_now,cust_810283,food_delivery,277.89,authentication_failed,1,184,1,1,0.5,6,17,KOTAK,platinum,0.066,whatsapp_nudge,1,0.08
case_04af8da99a04,merch_game_loot,cust_976721,gaming,75.78,authentication_failed,1,492,1,1,0.5,5,14,AXIS,rupay,0.1336,email,1,13.68
case_059482a59f36,merch_nexus_quest,cust_174568,gaming,123.52,authentication_failed,1,11,2,0,0.0,3,6,ICICI,platinum,0.4506,incentive_link,0,
case_0200f37671e2,merch_game_loot,cust_399947,gaming,148.66,insufficient_funds,1,1700,0,0,0.0,1,16,ICICI,rupay,0.2008,voice_call,0,
case_02876ea0abb6,merch_stay_luxe,cust_275580,travel,5451.71,upi_pin_timeout,2,609,1,1,0.5,6,23,ICICI,corporate,0.3276,whatsapp_nudge,0,
case_0298e12a8416,merch_skytrip,cust_269785,travel,9256.46,insufficient_funds,1,405,1,1,0.5,0,10,SBI,platinum,0.3406,voice_call,0,
case_016098408569,merch_skytrip,cust_948737,travel,12872.84,insufficient_funds,1,190,2,0,0.0,5,22,HDFC,upi_standard,0.3049,email,1,3.48
case_0518b1faaa59,merch_skill_core,cust_362438,education,26505.09,insufficient_funds,1,455,1,2,0.6667,6,6,ICICI,signature,0.1743,voice_call,0,
case_036079b12a0a,merch_blitz_retail,cust_657155,ecommerce,3893.78,technical_gateway_error,4,325,3,0,0.0,4,11,HDFC,platinum,0.932,incentive_link,0,
case_00bddf9945ea,merch_style_kart,cust_906045,ecommerce,1140.59,insufficient_funds,1,777,1,0,0.0,5,14,ICICI,corporate,0.179,whatsapp_nudge,0,
case_00bed645aa85,merch_blitz_retail,cust_378481,ecommerce,891.71,technical_gateway_error,1,277,3,2,0.4,1,2,OTHER,classic,0.5064,retry_only,0,
case_01c98be73799,merch_skill_core,cust_213067,education,8320.57,insufficient_funds,2,55,1,2,0.6667,0,14,SBI,platinum,0.3203,email,1,1.42
case_04ce5f129a60,merch_blitz_retail,cust_708752,ecommerce,2352.87,card_limit_exceeded,1,26,3,0,0.0,6,8,HDFC,rupay,0.3524,whatsapp_nudge,0,
case_05aaffe646da,merch_urban_mart,cust_689961,ecommerce,1120.8,upi_pin_timeout,3,436,2,2,0.5,2,9,AXIS,classic,0.8148,retry_only,0,
case_025d977123fc,merch_data_weave,cust_527931,b2b_saas,1577.8,authentication_failed,1,149,0,0,0.0,1,12,SBI,classic,0.3454,email,1,18.54
case_05180f111938,merch_stay_luxe,cust_741418,travel,3225.18,upi_pin_timeout,3,77,0,0,0.0,3,21,AXIS,classic,0.7341,incentive_link,1,0.64
case_01ae438459a4,merch_flow_ops,cust_182228,b2b_saas,7092.73,authentication_failed,1,43,2,3,0.6,6,4,ICICI,classic,0.3466,voice_call,0,
case_01086e9f1da7,merch_skytrip,cust_666501,travel,5378.79,technical_gateway_error,1,2,2,0,0.0,4,21,HDFC,corporate,0.3057,whatsapp_nudge,0,
case_057db996752c,merch_acad_plus,cust_254347,education,1445.23,bank_downtime,2,172,1,0,0.0,5,23,HDFC,classic,0.6452,retry_only,0,
case_02cddbba288a,merch_trend_hub,cust_336818,ecommerce,680.85,insufficient_funds,1,66,1,2,0.6667,2,23,HDFC,classic,0.1701,retry_only,0,
case_05e96e116ac9,merch_trend_hub,cust_961800,ecommerce,597.59,authentication_failed,1,45,1,0,0.0,5,11,AXIS,platinum,0.1714,whatsapp_nudge,1,0.57
case_05b823784dfd,merch_style_kart,cust_585164,ecommerce,5891.07,upi_pin_timeout,2,331,2,3,0.6,3,6,OTHER,platinum,0.4012,whatsapp_nudge,1,2.59
case_0384b8595f55,merch_blitz_retail,cust_162458,ecommerce,8167.94,insufficient_funds,1,32,3,0,0.0,2,14,ICICI,upi_standard,0.5156,email,0,
case_02b6bcdcb04f,merch_nexus_quest,cust_592371,gaming,236.83,insufficient_funds,1,14,2,0,0.0,1,20,KOTAK,rupay,0.2523,whatsapp_nudge,0,
case_0243b6c72c0a,merch_style_kart,cust_174061,ecommerce,2684.86,insufficient_funds,1,53,1,1,0.5,4,0,ICICI,signature,0.2729,retry_only,0,
case_039877080795,merch_skytrip,cust_832621,travel,9447.28,technical_gateway_error,1,551,2,1,0.3333,1,10,OTHER,classic,0.3621,no_action,0,
case_041243fbbf2c,merch_urban_mart,cust_346167,ecommerce,3530.16,bank_downtime,2,360,2,0,0.0,2,5,SBI,classic,0.5359,whatsapp_nudge,0,
case_0218fe328fba,merch_style_kart,cust_754088,ecommerce,1260.69,technical_gateway_error,3,244,1,1,0.5,0,3,KOTAK,platinum,0.5674,no_action,0,
case_0159713455ea,merch_cloud_scale,cust_321023,b2b_saas,2869.28,authentication_failed,1,894,0,1,1.0,0,2,OTHER,rupay,0.1143,whatsapp_nudge,0,
case_058301a8c318,merch_feast_now,cust_893454,food_delivery,153.12,authentication_failed,2,913,1,2,0.6667,4,13,AXIS,classic,0.3261,whatsapp_nudge,1,0.93
case_0559100fa9b2,merch_play_arena,cust_897886,gaming,512.3,card_limit_exceeded,2,572,0,0,0.0,0,4,HDFC,upi_standard,0.2825,no_action,0,
case_03f18970b028,merch_fit_box,cust_469854,subscription,1652.35,technical_gateway_error,1,429,0,1,1.0,4,14,KOTAK,rupay,0.0,email,1,1.34
case_05e6a15ba5be,merch_cloud_scale,cust_993922,b2b_saas,4701.18,technical_gateway_error,1,49,1,1,0.5,5,18,HDFC,corporate,0.213,whatsapp_nudge,0,
case_01031abba50f,merch_stay_luxe,cust_469826,travel,3233.83,card_limit_exceeded,1,804,2,0,0.0,1,13,HDFC,classic,0.1793,whatsapp_nudge,0,
case_05802892168b,merch_cloud_scale,cust_878334,b2b_saas,10383.12,authentication_failed,3,110,2,0,0.0,1,18,AXIS,classic,0.8035,voice_call,0,
case_02cb70c42080,merch_fit_box,cust_553889,subscription,1290.17,insufficient_funds,1,781,1,0,0.0,3,7,ICICI,platinum,0.2175,incentive_link,1,5.47
case_0185afb0bea7,merch_style_kart,cust_215520,ecommerce,2258.37,upi_pin_timeout,1,66,1,1,0.5,5,8,HDFC,classic,0.2864,incentive_link,0,
case_03b6c2870a73,merch_trend_hub,cust_294056,ecommerce,4861.57,insufficient_funds,4,14,2,1,0.3333,5,23,SBI,signature,1.0,incentive_link,1,6.15
case_021a10ff931a,merch_blitz_retail,cust_870095,ecommerce,1709.86,technical_gateway_error,3,278,1,0,0.0,0,16,ICICI,platinum,0.6023,whatsapp_nudge,0,
case_022bea94b28e,merch_urban_mart,cust_110385,ecommerce,1319.01,user_cancelled_checkout,2,158,1,1,0.5,6,9,AXIS,classic,0.4607,no_action,0,
case_045f2fde3dc5,merch_skill_core,cust_706275,education,4184.48,user_cancelled_checkout,1,345,3,1,0.25,0,20,HDFC,classic,0.2752,incentive_link,1,1.97
case_040b3e2b1bdf,merch_stream_pass,cust_722506,subscription,575.6,user_cancelled_checkout,1,95,2,1,0.3333,1,19,ICICI,classic,0.2556,incentive_link,0,
case_056f9ae17c1f,merch_game_loot,cust_651635,gaming,1665.56,technical_gateway_error,2,76,3,0,0.0,4,5,KOTAK,rupay,0.6929,incentive_link,1,5.07
case_0185a2be7c1c,merch_stay_luxe,cust_732411,travel,6154.87,upi_pin_timeout,1,680,1,1,0.5,3,16,KOTAK,platinum,0.2016,no_action,1,4.56
case_0122381b6248,merch_skill_core,cust_731990,education,3455.15,upi_pin_timeout,3,302,3,0,0.0,2,8,SBI,platinum,0.9269,retry_only,0,
case_049759218d0c,merch_game_loot,cust_109393,gaming,619.02,insufficient_funds,1,313,1,0,0.0,3,14,AXIS,upi_standard,0.2328,voice_call,0,
case_04e46aea04ec,merch_flow_ops,cust_541095,b2b_saas,19671.69,insufficient_funds,1,249,2,0,0.0,1,7,OTHER,rupay,0.3612,email,0,
case_04614a1593fd,merch_trend_hub,cust_146833,ecommerce,9213.55,insufficient_funds,1,139,2,1,0.3333,3,5,HDFC,corporate,0.4119,retry_only,0,
case_017ba514a23f,merch_flow_ops,cust_733494,b2b_saas,3857.52,technical_gateway_error,3,39,1,0,0.0,1,6,HDFC,platinum,0.6435,retry_only,0,
case_05943187af59,merch_blitz_retail,cust_458586,ecommerce,1157.26,upi_pin_timeout,2,111,3,1,0.25,5,21,SBI,classic,0.5902,email,0,
case_047555ec6e18,merch_skill_core,cust_167021,education,4330.65,technical_gateway_error,1,107,5,2,0.2857,3,14,KOTAK,classic,0.6805,email,1,9.68
case_0550e64262e7,merch_blitz_retail,cust_791109,ecommerce,6065.27,bank_downtime,1,348,3,1,0.25,2,9,OTHER,upi_standard,0.2859,retry_only,1,0.04
case_01e507da2b02,merch_skill_core,cust_860176,education,684.52,technical_gateway_error,3,119,1,0,0.0,1,13,KOTAK,signature,0.5912,retry_only,1,0.08
case_02535e198458,merch_nexus_quest,cust_926306,gaming,531.0,upi_pin_timeout,2,101,3,2,0.4,4,1,KOTAK,signature,0.586,retry_only,0,
case_01ccad394b6b,merch_skill_core,cust_333473,education,3765.48,bank_downtime,1,64,1,0,0.0,1,2,HDFC,signature,0.3122,no_action,1,4.17
case_037df4552fcc,merch_edupath,cust_824229,education,6374.86,upi_pin_timeout,1,14,2,1,0.3333,1,8,SBI,rupay,0.2384,retry_only,0,
case_02b8603935ed,merch_voyage_air,cust_420280,travel,2559.28,insufficient_funds,1,144,2,1,0.3333,0,1,KOTAK,signature,0.4157,whatsapp_nudge,0,
case_057fcdac16b6,merch_skytrip,cust_463345,travel,4697.27,insufficient_funds,2,125,2,0,0.0,3,12,HDFC,platinum,0.5806,whatsapp_nudge,0,
case_0527bbd2bd65,merch_voyage_air,cust_138941,travel,12494.21,technical_gateway_error,1,661,2,0,0.0,4,5,KOTAK,classic,0.3372,whatsapp_nudge,0,
case_0419199b2fd8,merch_trend_hub,cust_516832,ecommerce,1449.41,technical_gateway_error,4,62,1,1,0.5,2,6,HDFC,platinum,0.7345,whatsapp_nudge,0,
case_04e935a101ca,merch_skytrip,cust_839684,travel,14909.52,insufficient_funds,1,254,2,1,0.3333,0,12,AXIS,corporate,0.3939,voice_call,1,1.94
case_015a94f9013f,merch_nexus_quest,cust_216062,gaming,563.89,technical_gateway_error,1,624,0,0,0.0,0,11,HDFC,platinum,0.1972,whatsapp_nudge,1,1.14
case_04d085f053f8,merch_blitz_retail,cust_961456,ecommerce,1750.68,card_limit_exceeded,2,413,5,3,0.375,3,9,OTHER,upi_standard,0.8043,incentive_link,1,11.54
case_033309b44fa6,merch_quick_bite,cust_152822,food_delivery,487.39,technical_gateway_error,1,90,2,1,0.3333,5,13,HDFC,platinum,0.1826,whatsapp_nudge,0,
case_037418a8839b,merch_news_wire,cust_690833,subscription,2990.66,insufficient_funds,1,2,2,0,0.0,1,22,ICICI,corporate,0.2589,no_action,0,
case_0234d1bf8450,merch_urban_mart,cust_372292,ecommerce,1053.08,insufficient_funds,2,12,2,1,0.3333,3,21,ICICI,classic,0.4552,whatsapp_nudge,0,
case_021297bfb78b,merch_flow_ops,cust_492045,b2b_saas,2048.94,technical_gateway_error,2,43,5,2,0.2857,6,7,KOTAK,classic,0.8698,voice_call,0,
case_05cca2a76894,merch_skytrip,cust_589725,travel,27153.66,insufficient_funds,1,59,2,0,0.0,0,2,SBI,classic,0.2392,whatsapp_nudge,0,
case_022a67c81b91,merch_acad_plus,cust_846648,education,959.48,bank_downtime,2,26,1,0,0.0,3,1,HDFC,classic,0.3733,email,1,9.71
case_05616873753e,merch_news_wire,cust_853583,subscription,656.23,upi_pin_timeout,3,960,2,1,0.3333,6,7,KOTAK,classic,0.6607,email,0,
case_04c3df1cbc6d,merch_nexus_quest,cust_253013,gaming,688.89,card_limit_exceeded,1,19,1,1,0.5,0,1,HDFC,upi_standard,0.1941,incentive_link,1,4.43
case_03d9126d12d7,merch_stream_pass,cust_613608,subscription,2030.69,technical_gateway_error,1,380,2,2,0.5,5,0,KOTAK,platinum,0.3915,voice_call,0,
case_03d305086803,merch_chef_cart,cust_920293,food_delivery,568.6,technical_gateway_error,2,663,0,0,0.0,6,7,CITI,classic,0.4706,incentive_link,0,
case_05c3c8793005,merch_skill_core,cust_378868,education,11366.31,insufficient_funds,1,47,3,0,0.0,3,7,KOTAK,upi_standard,0.4334,voice_call,0,
case_0214b6ef8023,merch_blitz_retail,cust_527192,ecommerce,560.72,authentication_failed,1,105,2,2,0.5,2,21,SBI,upi_standard,0.2983,no_action,1,4.35
case_0266a1c3a39a,merch_edupath,cust_370086,education,859.53,technical_gateway_error,2,519,2,1,0.3333,3,1,OTHER,rupay,0.4565,retry_only,1,0.03
case_01825d1627fb,merch_nexus_quest,cust_247216,gaming,734.05,insufficient_funds,1,87,0,0,0.0,1,8,ICICI,signature,0.0,whatsapp_nudge,0,
case_01a6536f7551,merch_trend_hub,cust_797587,ecommerce,1881.82,insufficient_funds,1,26,1,1,0.5,4,9,HDFC,upi_standard,0.0502,no_action,0,
case_048657554e4a,merch_cloud_scale,cust_425707,b2b_saas,8343.9,authentication_failed,1,263,1,0,0.0,2,7,OTHER,classic,0.3075,email,0,
case_02f82f7d72d7,merch_feast_now,cust_189315,food_delivery,487.22,bank_downtime,1,64,1,0,0.0,6,2,HDFC,classic,0.3097,whatsapp_nudge,0,
case_01146b95193f,merch_stay_luxe,cust_888480,travel,3360.92,authentication_failed,3,455,2,1,0.3333,5,22,ICICI,rupay,0.69,whatsapp_nudge,0,
case_0368a3366540,merch_urban_mart,cust_416169,ecommerce,2258.71,insufficient_funds,1,129,5,0,0.0,4,19,HDFC,signature,0.6166,whatsapp_nudge,0,
case_0125f4022857,merch_cloud_scale,cust_489263,b2b_saas,5118.28,insufficient_funds,1,380,0,1,1.0,5,16,CITI,classic,0.0,email,0,
case_03094a4f0edd,merch_trend_hub,cust_438923,ecommerce,2889.78,technical_gateway_error,1,26,1,1,0.5,1,16,CITI,platinum,0.2204,whatsapp_nudge,1,0.37
case_03f05c2c93f7,merch_cloud_scale,cust_753751,b2b_saas,150000.0,upi_pin_timeout,2,234,1,0,0.0,6,18,ICICI,platinum,0.3659,retry_only,0,
case_04ed5a5558c1,merch_urban_mart,cust_384445,ecommerce,11103.84,authentication_failed,1,140,2,0,0.0,3,0,HDFC,classic,0.2666,whatsapp_nudge,0,
case_0305a723ab9c,merch_dev_stack,cust_948714,b2b_saas,8982.27,insufficient_funds,1,288,2,1,0.3333,0,12,HDFC,classic,0.3481,incentive_link,0,
case_05ccff54b8a6,merch_urban_mart,cust_754821,ecommerce,1372.26,insufficient_funds,2,220,2,2,0.5,2,19,SBI,platinum,0.5565,voice_call,0,
case_02012d212b53,merch_feast_now,cust_140310,food_delivery,118.96,upi_pin_timeout,1,384,1,1,0.5,1,14,SBI,corporate,0.1811,incentive_link,0,
case_041f3a622608,merch_dev_stack,cust_160733,b2b_saas,13222.77,user_cancelled_checkout,2,300,1,1,0.5,1,15,HDFC,classic,0.4849,voice_call,1,1.95
case_04bdf63d5aa6,merch_skill_core,cust_530470,education,11141.77,insufficient_funds,3,833,2,1,0.3333,2,21,KOTAK,upi_standard,0.6585,no_action,0,
case_02bb80d761cf,merch_urban_mart,cust_838340,ecommerce,3683.57,upi_pin_timeout,1,217,4,1,0.2,0,8,OTHER,upi_standard,0.6604,no_action,0,
case_019af4885216,merch_urban_mart,cust_252063,ecommerce,1605.9,authentication_failed,2,362,0,0,0.0,2,4,HDFC,platinum,0.4191,whatsapp_nudge,0,
case_0248228b7e9c,merch_skytrip,cust_137409,travel,9288.73,upi_pin_timeout,1,721,0,0,0.0,4,4,ICICI,upi_standard,0.0827,voice_call,0,
case_00e7687384e6,merch_quick_bite,cust_319894,food_delivery,246.3,card_limit_exceeded,1,124,0,1,1.0,5,5,ICICI,classic,0.0153,voice_call,0,
case_035f9b335379,merch_trend_hub,cust_911951,ecommerce,1384.68,authentication_failed,1,25,0,1,1.0,0,16,ICICI,signature,0.0,whatsapp_nudge,1,0.74
case_03d5b54aa2b6,merch_quick_bite,cust_103857,food_delivery,274.21,insufficient_funds,3,249,4,4,0.5,2,9,ICICI,classic,0.8054,whatsapp_nudge,0,
case_036775ca2eb1,merch_skill_core,cust_556332,education,2597.44,technical_gateway_error,2,277,1,0,0.0,0,8,ICICI,upi_standard,0.388,email,0,
case_0579146d3584,merch_skill_core,cust_607485,education,2686.81,card_limit_exceeded,1,290,0,1,1.0,1,18,HDFC,classic,0.0379,whatsapp_nudge,0,
case_01e86ef5953d,merch_play_arena,cust_819435,gaming,1066.91,authentication_failed,3,16,4,3,0.4286,1,17,HDFC,signature,0.9919,whatsapp_nudge,0,
case_04855fd49cc1,merch_acad_plus,cust_542645,education,3185.82,upi_pin_timeout,2,71,2,2,0.5,2,12,ICICI,upi_standard,0.7057,no_action,0,
case_0192eb3142b8,merch_trend_hub,cust_525283,ecommerce,1372.13,insufficient_funds,3,337,2,1,0.3333,4,15,ICICI,upi_standard,0.7099,no_action,0,
case_019b357105e1,merch_feast_now,cust_486818,food_delivery,99.0,user_cancelled_checkout,1,203,3,2,0.4,2,16,SBI,classic,0.3794,no_action,0,
case_00a3dbdc8e27,merch_news_wire,cust_276685,subscription,505.32,user_cancelled_checkout,2,804,3,1,0.25,0,14,HDFC,classic,0.6338,retry_only,0,
case_02f6ae846054,merch_urban_mart,cust_964670,ecommerce,1712.74,insufficient_funds,1,215,1,0,0.0,4,18,ICICI,classic,0.2385,whatsapp_nudge,0,
case_00f3b7cb5dfd,merch_urban_mart,cust_840834,ecommerce,3138.94,technical_gateway_error,1,310,4,2,0.3333,1,7,ICICI,upi_standard,0.5092,incentive_link,1,0.3
